package_name,usage_count,versions
react-dom,33,"^19.0.0,^16.4,^16.8.0,^18.1.0,^0.14.3,^16.9.0,^16.8.6,^17.0.2,^18.2.0,19.0.0-rc-cc1ec60d0d-20240607,19.1.0,^19.2.0,^18.0.0,~18.2.0,^18.3.1,^19.2.1,^19.2.3,19.2.1"
zod,32,"^3.25.73,3.25.51,^4.1.12,^3.23.8,^3.25.76,^4.1.11,^4.1.13,^4.3.4,^3.22.3,4.2.1,^3.24.2,^3.20.2,^3.24.1,^3.21.4,^3.22.4"
dotenv,31,"8.2.0,^16.0.0,6.0.0,^17.0.0,^17.2.3,^16.4.5,~16.4.0,^16.4.7,^16.5.0,^16.0.1,^16.0.3,^16.4.1,^10.0.0,^8.2.0"
rollup-plugin-svelte,31,"^5.0.1,^5.0.3,^5.0.0,^6.1.0,^5.1.0,^5.2.2,5.2.1,^7.1.0,^6.0.0,^5.2.1,^7.0.0,^7.2.0,^7.2.2,^6.1.1,7.1.0,~6.1.1,^7.1.5,^7.1.6"
@vitest/coverage-v8,29,"^4.0.16,catalog:,^1.6.0,^2.0.5,^2.0.3,^1.2.2,^3.1.4,2.1.9,^3.2.4,^3.1.3,0.34.6,3.1.2,1.2.1,^2.1.1,1.6.0,^3.0.9,^3.1.1"
esbuild,29,"^0.12.8,^0.13.2,^0.23.1,^0.15.6,^0.18.11,^0.27.0,0.25.12,^0.19.9,^0.19.10,0.19.10,latest,^0.18.4,^0.25.9,^0.15.18,^0.24.0,^0.24.2,^0.19.11,^0.20.2,^0.14.27,^0.19.2,0.11.14,^0.15.16,^0.25.10"
eslint-plugin-prettier,28,"^3.0.0,^4.2.1,2.6.2,^2.3.1,^3.1.2,^5.1.3,^5.5.4,^2.0.1,^5.1.1,^5.0.1,5.2.6,^5.2.1,^5.2.3,^5.1.2,^5.0.0,^5.4.0,5.2.3,^4.0.0"
mdsvex,28,"^0.9.8,^0.12.3,^0.8.4-beta.4,^0.11.0,^0.8.2,^0.12.6,^0.11.2,^0.10.6,0.11.0"
postcss-load-config,28,"2.1.0,^5.0.2,^5.0.3,^4.0.1,^5,^3.1.0,^6.0.1,^3.1.1,^4.0.2,5.0.3,^3.0.1"
@sveltejs/adapter-node,27,"^5.2.12,^5.4.0,^5.0.1,5.4.0,^1.3.1,^1.0.0-next.106,^1.0.0-next.61,^1.0.0-next.100,^1.0.0-next.73,^1.0.0-next.23,^4.0.1,5.2.0,^1.0.0-next.43,next,^5.2.8,^5.2.0"
@testing-library/jest-dom,27,"^5.5.0,^6.8.0,^6.6.3,^5.11.4,^6.9.1,^6.1.5,^6.5.0,^6.4.1,^6.4.2,^6.4.6,catalog:,^6.4.5,^5.16.1,^5.16.4,^5.11.6,5.17.0"
turbo,27,"2.4.4,^1.11.2,^2.6.3,2.5.6,2.5.8,^2.0.3,^1.10.14,^1.3.1,1.13,^2.7.2,^2.1.3,^2.1.1,^2.7.0,catalog:,^2.3.3,^2.6.1,^1.10.3,^2.4.4,^2.5.4,2.7.1,^1.13.4,2.5.3,^1.2.6"
tsx,26,"^4.7.0,^4.20.5,^4.19.3,4.19.3,^4.19.1,^4.19.2,^4.16.5,^4.21.0,^4.6.2,^4.20.3,*,^4.10.5,4.21.0,^4.20.6,^3.12.7,^4.17.0,4.19.4"
@tailwindcss/vite,25,"^4.0.0,^4.0.8,^4.1.14,^4.1.13,^4.1.17,^4.1.18,4.1.14,4.1.18,^4.1.7,^4.1.6,^4.0.15,^4.1.1"
clsx,25,"^2.1.0,^2.1.1,^1.1.1,2.1.1,^2.0.0,^1.2.1"
tailwind-merge,25,"^2.2.0,^3.3.1,^3.4.0,^2.2.2,^2.2.1,3.4.0,^2.0.0,^3.3.0,^2.5.4,^2.3.0,^1.13.2,^2.6.0,^2.5.2,^1.14.0,^3.0.1"
@types/eslint,24,"^9.6.1,^9.0.0,^8.56.0,^8.56.2,^8.56.9,^8.56.7,^8.56.12,^9.6.0,8.56.0"
chalk,24,"4.1.0,^2.0.1,^4.1.2,^2.4.1,^3.0.0,^5.0.0,^1.1.3,^2.4.2,^5.3.0,5.4.1,^4.1.1,^5.6.2,5.6.2,^4.1.0,^5.4.1"
glob,24,"^7.1.2,^7.1.3,^7.1.6,^8.0.3,^7.2.0,^6.0.2,^7.0.3,^7.0.6,^11.0.3,^11.1.0,^11.0.0,^10.3.10,^10.2.2,^10.4.2,10.3.16,^10.4.5,^9.3.5,13.0.0"
@types/mocha,23,"^8.0.3,^2.2.44,^5.2.5,^8.0.0,^7.0.0,^2.2.42,^10.0.10,10.0.10,^10.0.1,^5.2.3,^10.0.6,^9.0.0,^9.1.1,^5.2.7"
acorn,23,"^8.8.1,^8.10.0,^7.0.0,^4.0.4,^8.14.0,^7.1.1,^8.8.0,^8.7.1,^8.9.0,^8.11.3,^8.14.1,^8.0.5,^8.15.0,^7.4.0,^8.4.1,^4.0.1"
bits-ui,23,"^0.14.0,^2.15.2,^2.15.1,^0.21.3,^1.0.0-next.81,^2.14.2,2.14.4,^0.9.9,1.0.0-next.39,^0.21.10,^0.21.16,^0.0.27,1.0.0-next.45,1.0.0-next.78,^0.21.13,^2.11.4,^0.6.3,^1.3.0"
fs-extra,23,"^10.0.0,^8.1.0,^10.1.0,7.0.1,^9.0.1,11.2.0,^11.3.1,^11.3.2,^11.2.0,^11.3.0,^11.1.1,^10.0.1,^9.1.0,5.0.0"
playwright,23,"^1.28.0,1.30.0,1.23.0-next-alpha-trueadm-fork,^1.28.1,^1.57.0,^1.44.1,catalog:,^1.54.1,^1.43.1,^1.46.1,^1.55.1,^1.27.1,^1.56.1,1.53.2,^1.14.1,1.56.1"
@babel/preset-env,22,"^7.0.0,7.9.6,^7.1.6,^7.20.2,^7.7.6,^7.10.2,7.8.7,^7.25.3,^7.24.7,7.28.3,^7.12.1,^7.14.8,7.23.8,8.0.0-alpha.4,^7.18.9,^7.16.5,^7.16.11"
@types/react,22,"^19.0.1,^18.0.8,^18.0.12,^17.0.80,^18.0.26,^19.0.8,^19,^19.0.10,^19.2.0,^17.0.11,^18.2.79,^18.2.45,^18.3.5,^19.2.7,^18.3.2,^17.0.39,^18.2.51,17.0.33,^18.2.39"
semver,22,"^7.3.8,^7.3.5,^7.6.3,^7.1.1,^6.3.0,7.3.2,^7.7.2,^7.6.0,^7.7.3,7.7.0,^7.6.2,^6.3.1,*,^7.5.4,^7.3.7"
tailwind-variants,22,"^0.1.20,^3.2.2,^0.2.1,^0.1.8,3.2.2,^0.1.18,^0.1.13,^3.1.1,^0.1.19,^0.3.0,^0.3.1"
@rollup/plugin-replace,21,"^6.0.2,^2.3.3,^2.2.0,^5.0.5,^4.0.0,^5.0.2,^3.0.0,6.0.2,^5.0.7,^6.0.3,^5.0.1,^2.4.2,^2.3.0,^2.3.2"
lucide-svelte,21,"^0.309.0,^0.560.0,^0.368.0,^0.321.0,^0.554.0,^0.483.0,^0.408.0,^0.399.0,^0.453.0,^0.292.0,^0.379.0,^0.454.0,^0.436.0,^0.460.1,^0.288.0,^0.294.0,^0.561.0,^0.475.0"
marked,21,"^1.1.0,^13.0.0,7.0.3,^16.4.1,^17.0.1,^16.4.2,^5.1.0,^12.0.1,^11.1.1,15.0.12,^16.2.1,^15.0.11,^3.0.2,^15.0.7,^5.1.1,^4.0.12,^8.0.0,^0.7.0,0.5.0"
sass,21,"^1.89.2,^1.34.1,^1.49.0,^1.54.8,^1.52.3,^1.96.0,^1.97.0,^1.35.1,^1.72.0,^1.71.1,^1.94.2,^1.81.0,^1.49.11,^1.77.6,^1.86.0,^1.38.1,^1.57.1,^1.0.0,^1.77.8,^1.97.1"
ts-node,21,"^3.3.0,^8.10.2,^10.1.0,^10.0.0,10.9.2,^10.9.2,^7.0.0,^10.9.1,10.9.1,^9.0.0,^10.2.1,^10.4.0"
webpack,21,"^4.38.0,^4.41.2,^1.12.2,^1.12.9,4.28.3,4.44.2,^1.13.2,^5.91.0,^5.92.1,^5.73.0,^5.101.3,^5.101.1,^5.30.0 <= 5.50.0 || ^5.51.2,^5.101.0,^4.30.0,1.12.11,^1.15.0,^5.28.0,^4.7.0"
@tailwindcss/forms,20,"^0.5.3,^0.5.10,^0.5.7,^0.5.11,0.5.10,^0.4.0,0.2.1,^0.5.9,^0.3.3,0.5.7"
eslint-plugin-react,20,"^7.37.2,^6.7.1,7.12.4,^7.24.0,^3.4.2,^3.12.0,^7.4.0,^7.21.5,^7.33.2,^7.31.11,^6.10.3,^7.37.5,^7.29.3,^7.37.3,^7.33.1,~7.21.2"
rollup-plugin-terser,20,"^7.0.2,^5.3.0,^5.1.2,^6.1.0,5.3.0,^7.0.0,7.0.2,*,^5.2.0,^7.0.1,^5.0.0"
@changesets/changelog-github,19,"0.5.1,^0.5.1,^0.5.0,0.5.2,^0.4.7"
@sveltejs/eslint-config,19,"github:sveltejs/eslint-config#v5.0.0,git+https://github.com/sveltejs/eslint-config#v5.4.0,^6.0.2,github:sveltejs/eslint-config#v5.8.0,~8.3.4,catalog:,^8.2.0,8.1.0,^8.1.0,^8.3.4,github:sveltejs/eslint-config#v5.6.0"
concurrently,19,"^5.2.0,^6.2.0,^6.2.1,^9.1.0,^5.3.0,^7.6.0,^8.2.1,^4.1.0,^8.2.2,catalog:,^8.2.0,^9.2.1,^9.1.2"
@rollup/plugin-json,18,"^4.1.0,^6.0.0,4.0.1,^6.1.0,6.0.0,^4.0.1"
@types/jest,18,"^27.0.2,^27.5.0,^27.5.2,^29.5.11,^30.0.0,^26.0.15,^29.5.12,^29.5.8,^26.0.23,28.1.3,^29.5.2,^29.2.5,30.0.0,^27.0.3,^27.4.1,^28.1.3"
chai,18,"3.3.0,^4.2.0,^3.2.0,^3.5.0,^6.0.1,4.4.1,^4.1.2,^4.3.6,3.4.1,^5.0.3,^3.0,^4.3.8"
date-fns,18,"^3.2.0,^3.6.0,^4.1.0,^2.22.1,^2.28.0,^2.29.2,^2.24.0,^2.29.3,^2.30.0"
node-fetch,18,"^2.6.0,^2.6.5,^3.3.0,^3.3.2,^3.2.5,^2.6.1,^1.7.1,^2.6.6,^3.2.0"
tsup,18,"^8.4.0,^8.3.5,^8.0.2,^8.1.0,^8.0.1,^8.5.0,^8.2.0,^8.0.0,^7.2.0,^8.3.0,6.2.1"
@testing-library/svelte,17,"^3.0.0,^5.2.4,workspace:*,^5.2.9,^5.3.0,^4.0.5,^4.1.0,^4.0.2,^3.0.3,^4.2.3,^5.2.7"
babel-eslint,17,"^10.0.1,^10.0.3,10.0.1,^10.1.0,^4.1.3,^5.0.0-beta4,^5.0.0,9.0.0,^8.0.1,^11.0.0-beta.2,^7.2.0,10.1.0,=8.0.3 || ^8.2.6"
eslint-plugin-react-hooks,17,"^6.1.1,^5.2.0,^5.1.0,^1.5.1,^4.2.0,^4.3.0,^4.6.0,^7.0.1,^5.1.0-rc.0,^5.0.0,^4.1.0"
kleur,17,"^4.0.2,^3.0.3,^4.1.5,^4.1.1,^4.0.0,^4.1.4,4.1.5,^4.0.3,4.1.4"
prismjs,17,"^1.20.0,^1.30.0,^1.29.0,^1.17.1,1.29.0,^1.25.0,^1.24.1,1.30.0"
rehype-slug,17,"^6.0.0,6.0.0,^5.0.1,^5.1.0,^4.0.1,^5.0.0"
rollup-plugin-node-resolve,17,"3.4.0,5.2.0,^2.1.1,^5.0.0,^5.2.0,^3.0.0,^4.2.4,^2.0.0"
uvu,17,"^0.3.3,^0.5.6,^0.5.1,^0.4.1,0.5.2,0.3.3,0.5.4,0.5.1,0.3.2,^0.5.2"
@sveltejs/adapter-netlify,16,"^4.4.0,^1.0.0-next.35,^2.0.8,^1.0.0-next.71,next,^1.0.0-next.29,^3.0.0,^1.0.0-next.27,^4.1.0,4.3.1,^1.0.0-next.30,4.1.0,^4.3.1"
express,16,"4.13.3,^4.13.3,^4.17.1,^4.19.2,^5.0.1,^5.1.0,^5.2.1,^4.18.2,^4.21.0,^4.21.2,3.5.0,latest"
nx,16,"21.5.3,20.8.0,catalog:,21.3.7,^19.8.2,^19.0.8,22.1.1,^20.4.6,^22.1.3,22.1.3,22.0.2,19.8.14,^21.0.0,22.0.3"
shiki,16,"0.10.1,^0.10.1,^3.0.0,^0.14.4,^3.9.2,^3.7.0,^3.20.0,^1.1.1,^0.14.3,3.20.0,^0.14.5"
tiny-glob,16,"0.2.8,^0.2.6,^0.2.9"
valibot,16,"^1.2.0,^1.1.0,^1.0.0"
drizzle-kit,15,"^0.31.8,^0.30.2,^0.31.5,^0.31.4,^0.19.13,^0.24.2,^0.21.4,^0.26.2,^0.25.0,^0.31.7,^0.20.14"
rehype-autolink-headings,15,"^7.1.0,7.1.0,^6.1.1,^5.1.0,^6.0.0,^5.0.1"
tape,15,"4.2.1,~1.0.2,^3.0.3,4.4.0,^4.8.0,4.13.3,^4.10.1,^4.2.2,^4.6.3"
@babel/cli,14,"^7.1.5,^7.10.5,^7.19.3,^7.7.5,^7.10.1,^7.23.4,^7.24.6,^7.24.7,^7.17.6,8.0.0-alpha.4,^7.18.9,^7.16.0,^7.8.3"
@rollup/plugin-typescript,14,"^6.0.0,^4.1.2,^2.0.1,12.1.4,^12.0.0,^11.1.6,^12.1.4,12.1.2,^11.1.5,^8.0.0,^10.0.1"
coveralls,14,"^3.0.9,^3.0.2,^3.1.0,^3.1.1,*,^3.0.0,^2.13.1"
daisyui,14,"^2.6.4,^4.12.10,^4,^5.5.5,^5.0.0,^4.12.13,^4.10.1,^2.51.6,^1.21.0,4.7.2,^4.6.2,^1.25.4,^4.12.2"
drizzle-orm,14,"^0.45.0,^0.40.0,^0.44.6,^0.44.5,workspace:./drizzle-orm/dist,^0.33.0,^0.30.10,^0.35.3,^0.34.1,^0.35.2,^0.44.7,^0.29.3,^0.45.1"
eslint-plugin-jsdoc,14,"^51.3.3,^48.1.0,^61.0.0,^3.0.0,^50.5.0,50.6.9,^50.0.0,^48.2.3,^50.6.11,^39.9.1,^48.0.2,^61.5.0"
eslint-plugin-unicorn,14,"^47.0.0,^56.0.1,^62.0.0,^57.0.0,^59.0.0,59.0.0,^56.0.0,^48.0.1,^49.0.0,^55.0.0,^45.0.1,^45.0.2"
lerna,14,"^3.15.0,^3.19.0,^7.1.3,^8.0.1,^8.0.0,^3.22.1,^7.4.2,^6.4.0,^6,^8.2.3,^3.20.2,^2.8.0,^2.0.0-rc.5"
sirv-cli,14,"^1.0.6,^0.4.4,0.4.5,^1.0.0,^2.0.2,1.0.11,^2.0.1"
stripe,14,"^16.8.0,^13.3.0,^16.5.0,^15.8.0,^8.156.0,^12.4.0,^11.12.0,^16.2.0,^10.15.0,^12.9.0,^14.14.0,^11.13.0,^9.5.0"
svelte2tsx,14,"^0.4.1,^0.4.5,^0.7.45,0.7.4,^0.4.12,^0.6.27,^0.4.14,^0.4.10,^0.6.15,^0.5.9,~0.5.0"
wrangler,14,"4.2.0,^4.45.2,^4.37.1,^4.38.0,^4.54.0,4.12.0,^3.91.0,^4.47.0,^4.14.4,^3.63.2,^2.1.15"
@types/react-dom,13,"^19.0.2,^18.0.3,^18.0.5,^19.0.3,^19,^19.2.0,^18.2.25,^18.2.18,^18.3.0,^19.2.3,^18.2.15"
fast-glob,13,"^3.3.2,^3.2.5,^3.3.3,~3.3.0,3.3.3"
mode-watcher,13,"^1.1.0,^0.1.2,1.1.0,^0.4.1,^0.3.1,^0.3.0,^0.5.0,^0.5.1"
source-map-support,13,"^0.5.21,0.5.19,^0.4.2,^0.3.3,0.5.21,^0.5.13,^0.5.20,^0.4.0"
uuid,13,"^8.3.2,^13.0.0,^11.1.0,^10.0.0,^11.0.5,^9.0.0,^9.0.1,3.3.2"
@biomejs/biome,12,"^2.2.7,2.3.8,^1.9.4,2.3.3,catalog:,2.3.11,2.0.6,2.3.10,^1.9.3"
@fontsource/fira-mono,12,"^5.0.0,^5.0.3,^4.5.10,^4.5.6,^4.4.5,^4.2.2,^5.0.8"
@tsconfig/svelte,12,"^2.0.1,^5.0.4,^5.0.5,^3.0.0,^4.0.1,^1.0.10"
babel-jest,12,"23.6.0,^24.9.0,^26.6.0,^29.7.0,^26.6.2,^27.0.6,^29.3.1,^29.0.0,^25.5.1"
chokidar,12,"^3.4.2,^3.5.2,^3.5.3,^3.3.1,^4.0.3,^3.6.0,^3.0.0"
eslint-config-airbnb-base,12,"^15.0.0,^11.1.3,^14.2.1,^12.1.0"
eslint-plugin-jest,12,"^22.15.0,^27.1.5,22.4.1,^24.4.0,^24.1.0,^23.8.2,^27.6.3,^20.0.3,^27.2.2,^26.5.3,^26.1.2,^24.3.2"
estree-walker,12,"^0.6.1,^0.3.0,^3.0.3,^3.0.1,3.0.3,^3.0.0,^1.0.0,^0.6.0,^0.2.1"
nanoid,12,"3.3.8,^4.0.0,^3.1.28,^5.0.4,^5.0.9,^5.1.6,^3.1.20"
source-map,12,"^0.5.3,^0.7.3,^0.6.1,^0.7.4,0.6.1,^0.5.6"
@commitlint/config-conventional,11,"^19.2.2,^18.6.2,^11.0.0,^18.2.0,^19.8.1,^20.0.0,^17.8.1,^19.8.0,20.2.0"
@testing-library/user-event,11,"^14.6.1,^12.1.10,^14.5.2"
@types/bun,11,"^1.2.23,^1.3.3,^1.3.5,latest,catalog:,^1.1.9"
@types/estree,11,"*,^1.0.1,^1.0.5,^1.0.8,1.0.8,0.0.39"
@types/semver,11,"^7.3.13,^7.3.8,^7.7.1,7.7.1,^7.3.6,^7.5.8,^7.3.9"
eslint-plugin-n,11,"^16.6.2,^17.21.3,^16.3.1,^17.23.1,17.17.0,^17.16.2,^17.9.0,^17.7.0,^16.6.1"
istanbul,11,"0.3.22,^0.3.13,^0.4.5,*,0.4.2,~0.4.5,^0.4.3"
magic-string,11,"^0.25.7,^0.30.0,^0.30.19,0.30.21,^0.30.9,^0.30.21,^0.25.3,^0.15.2"
minimist,11,"^1.2.0,^1.2.5,^1.2.3,^1.2.8,1.2.8,^1.2.6"
rollup-plugin-commonjs,11,"10.1.0,9.2.0,^9.3.4,^10.1.0,^10.0.2,^10.0.1,^3.0.0"
rollup-plugin-livereload,11,"^1.0.0,^1.3.0,1.3.0,^2.0.0,2.0.0,^2.0.5,^1.0.1"
sander,11,"0.6.0,^0.6.0,^0.4.0,^0.5.1"
tap-spec,11,"^2.1.2,^4.1.1,4.1.2"
ts-jest,11,"^27.0.5,^28.0.2,^29.2.4,^29.1.1,29.1.2,29.4.5,^29.0.0,^27.1.4,^28.0.5"
uglify-js,11,"^2.6.2,2.4.24,2.6.1,latest,^3.15.3,2.x,^2.8.22,^3.2.0,^3.2.1"
unified,11,"9.1.0,^11.0.5,^11.0.4,^10.1.2,^11.0.3,^9.2.1"
unist-util-visit,11,"^4.1.0,^4.1.2,4.1.2,^5.0.0,5.0.0,^3.1.0"
@commitlint/cli,10,"^19.3.0,^18.6.1,^11.0.0,^18.2.0,^19.8.1,^20.1.0,^17.8.1,20.2.0"
@neoconfetti/svelte,10,"^2.0.0,^1.0.0,^2.2.2,^2.2.1"
@rollup/plugin-babel,10,"^5.0.0,^5.3.1,^5.3.0,^6.0.4,^6.0.3,6.0.3"
@sveltejs/adapter-cloudflare,10,"^5.0.0,^7.2.3,^7.2.4,^2.3.3,^7.0.0,^4.6.1,^4.8.0,next"
@vitest/ui,10,"catalog:,^3.0.6,^1.5.2,^1.2.2,^2.1.1,^3.2.4,4.0.16"
cssnano,10,"^7.1.1,^5.0.8,^5.0.6,^5.0.14,^5.0.15,^5.0.1,^5.0.16,^7.0.6"
dayjs,10,"^1.11.10,^1.11.7,^1.11.6,^1.11.13,^1.10.4,^1.11.19"
dts-buddy,10,"^0.2.4,^0.6.2,^0.1.13,^0.5.4,^0.5.5,^0.4.3"
eslint-import-resolver-typescript,10,"^2.2.0,^3.6.1,^4.3.5,4.3.4,^3.5.2,^3.5.3,^1.0.2 || ^1.1.1"
eslint-plugin-jsx-a11y,10,"^6.3.1,6.2.1,^6.4.1,6.1.2,^4.0.0,^6.5.1,^6.10.2,^6.6.1"
execa,10,"^5.1.1,^5.0.0,^4.0.3,^8.0.1,6.1.0,7.2.0,^9.1.0"
highlight.js,10,"11.11.1,^11.8.0,^11.7.0,^11.11.1,^11.10.0,^11.9.0,11.9.0,^11.2.0"
knip,10,"^5.63.1,^5.50.5,^5.56.0,^5.71.0,^5.59.1,^5.62.0,^5.41.1,5.46.5,^5.23.2"
locate-character,10,"^2.0.5,^2.0.0,^3.0.0"
nyc,10,"^15.1.0,17.1.0,^17.1.0,^11.3.0,^11.4.1,^11.9.0,^11.0.3"
remark-gfm,10,"^4.0.1,^3.0.1,^4.0.0,^2.0.0,^1.0.0"
remark-parse,10,"8.0.2,^11.0.0,^10.0.2,^9.0.0"
sinon,10,"^1.16.1,git://github.com/sinonjs/sinon.git#b672042043517b9f84e14ed0fb8265126168778a,^2.0.0,^13.0.1,21.0.0,^21.0.0,^2.4.1,^15.0.0,^11.0.0"
sirv,10,"^0.4.0,^1.0.0,^1.0.17,^3.0.2,^2.0.4,^2.0.2,^2.0.0,^0.4.2,^0.2.0"
svelte-eslint-parser,10,"^1.0.0,^1.4.0,^0.43.0,^0.36.0,1.4.1,^0.35.0,^0.31.0,^0.41.0"
svelte-sonner,10,"^1.0.7,1.0.7,^0.3.26,^0.3.28,^1.0.5,^0.3.19"
sveltekit-superforms,10,"1.13.4,^2.16.0,2.20.0,^2.13.1,^2.22.1,^0.8.6,^2.17.0,^2.20.0,^1.13.1,^2.23.1"
terser,10,"^5.26.0,^4.6.3,^5.31.2,^5.43.1,^5.31.3,^5.44.1,^5.6.1,4.8.0"
tmcp,10,"^1.18.1,^1.12.2,^1.16.0,^1.13.0,^1.14.0"
vite-plugin-devtools-json,10,"^1.0.0,^0.2.0,1.0.0,^0.2.1"
vue,10,"^3.5.21,^3.4.34,^3.4.23,^3.3.13,^3.4.38,^3.2.37,^3.3.4,3.5.16,^3.2.31"
@babel/eslint-parser,9,"^7.11.4,workspace:^,^7.25.1,^7.24.7,^7.12.0,7.27.1,^7.22.10,^7.22.15"
@babel/preset-react,9,"^7.0.0,^7.10.4,^7.14.5,^7.18.6,^7.23.3,^7.16.7,^7.24.7"
@babel/preset-typescript,9,"^7.18.6,^7.16.7,^7.3.3,8.0.0-alpha.4,^7.24.7,^7.24.6"
@jridgewell/sourcemap-codec,9,"^1.5.5,^1.4.14,^1.4.15"
@testing-library/react,9,"^16.3.0,^11.1.0,^16.0.1,^16.0.0,^15.0.7,16.0.1"
@types/prismjs,9,"^1.26.0,^1.16.6,^1.26.5,^1.26.4"
babel-loader,9,"^5.3.2,^6.2.0,8.0.5,8.1.0,^6.2.5,^9.1.2,^8.1.0,^8.2.3,^10.0.0"
c8,9,"^7.12.0,^10.1.3,10.1.3,^8.0.1,^7.0.0,^5.0.1,7.13.0"
eslint-plugin-flowtype,9,"^3.2.0,^2.25.0,2.50.3,^8.0.3,2.50.1,^5.2.0,^4.6.0,^2.34.0"
oxlint,9,"^1.14.0,^1.16.0,^0.18.0,^1.12.0,^1.31.0,catalog:,^1.34.0,^1.36.0"
pretty-quick,9,"^2.0.1,4.2.2,^4.2.2,^3.0.0,^3.1.3,3.1.3,4.0.0"
puppeteer,9,"^5.0.0,^10.4.0,^2.0.0,^19.2.0,^24.34.0,^2.1.1,^3.0.2,^1.19.0"
sharp,9,"^0.33.4,^0.34.5,^0.33.5,^0.32.1"
style-loader,9,"^0.12.4,^0.13.0,0.23.1,1.3.0,~0.13.1,^2.0.0,^3.3.3,^0.23.1,^3.3.1"
svelte-loader,9,"^2.13.6,^3.1.1,2.13.3,^3.1.3,^3.1.2,github:rixo/svelte-loader#2204a8f7e66e441f5e0ce6e70a5fa0f9e6bb2103,^2.9.0"
ws,9,"^6.1.4,^7.2.3,^8.5.0,^8.14.2,^8.18.0,^8.18.3,^8.13.0"
@babel/plugin-transform-modules-commonjs,8,"^7.1.0,^7.10.4,^7.19.6,^7.10.1,^7.23.3,^7.2.0,8.0.0-alpha.4"
@babel/runtime,8,"^7.0.0,^7.20.0,^7.10.2,^7.12.1,8.0.0-alpha.4,catalog:,^7.26.10"
@eslint/eslintrc,8,"^3,^3.3.3,^3.2.0,^3.3.0,^2.1.0,^3.3.1"
@faker-js/faker,8,"^10.0.0,^9.2.0,^8.4.1,^7.6.0,9.2.0"
@libsql/client,8,"^0.15.15,^0.14.0,^0.11.0"
@supabase/supabase-js,8,"^2.43.4,^2.45.2,^2.43.1,^2.21.0,^2.0.4,^2.33.0,^1.30.0"
@types/chai,8,"^5.2.2,5.2.2,^4.1.4,^4.3.11,^4.2.7,^4.3.3,^4.2.15"
@types/cookie,8,"^0.6.0,^0.4.0,^0.5.1"
@types/fs-extra,8,"^9.0.13,11.0.4,^9.0.12,^11.0.4"
@types/jsdom,8,"^27.0.0,20.0.1,^21.1.7,^21.1.1"
benchmark,8,"^2.1.4,^1.0.0"
browserify,8,"11.2.0,16.2.3,^16.5.0,^16.2.3,12.0.2,^13.0.0,13.1.0"
cspell,8,"^9.1.2,^8.6.0,^8.13.1,^8.10.0,^9.4.0,^9.0.0,8.19.3"
css-loader,8,"^0.19.0,^0.23.1,1.0.0,4.3.0,~0.25.0,^5.0.1,^6.10.0,^2.1.1"
devalue,8,"^4.0.0,^2.0.0,^5.6.1,^4.2.3,^4.3.2,^2.0.1"
eslint-plugin-node,8,"^11.1.0,^4.2.1"
eslint-plugin-unused-imports,8,"^4.1.4,^2.0.0,^3.0.0,^0.1.2,^4.3.0"
esm,8,"^3.2.25,3.2.25"
formsnap,8,"^1.0.1,2.0.0-next.1,^1.0.0,^2.0.0,^0.2.1"
fuse.js,8,"^6.6.2,^7.1.0,7.1.0,^7.0.0,^7"
gzip-size,8,"^5.1.1,^6.0.0,^3.0.0,^4.1.0"
karma,8,"^4.4.1,^0.13.15,^1.2.0,^6.4.4,~6.4.2,^0.13.22,^4.1.0"
mime,8,"^2.4.4,^3.0.0,^4.0.0,1.2.11,latest,^4.1.0"
minimatch,8,"^3.0.4,^3.0.0,^5.1.4,^10.1.1,^9.0.5,^9.0.3,^3.1.2"
remark-github,8,"^12.0.0,^11.2.4,^11.1.0,^10.0.1"
rollup-plugin-visualizer,8,"^5.12.0,catalog:,5.12.0,^5.8.3,^4.0.3"
semantic-release,8,"^17.4.7,24.2.9,24.2.7,23.0.8,24.2.3,^24.2.9,^19.0.3,^25.0.2"
serve,8,"^10.1.1,^11.3.2,^13.0.2,^11.2.0,^11.0.0,^11.3.0,^5.1.5,^5.1.4"
sourcemap-codec,8,"^1.4.6,^1.4.8,^1.4.1,^1.4.4,^1.3.0"
webpack-cli,8,"^5.0.1,^6.0.1,^4.0.0,^3.3.0,^4.10.0,^4.6.0"
yaml,8,"^2.8.1,^1.10.2,^2.2.2,^2.8.2,^2.3.1,^2.7.0"
yargs,8,"^15.3.1,^9.0.0,^2.1.1,^17.0.1,17.7.2,^17.7.2,^18.0.0,^17.1.1"
@arethetypeswrong/cli,7,"^0.15.3,^0.17.0,^0.17.3,^0.18.2,^0.17.4"
@babel/plugin-transform-runtime,7,"^7.0.0,7.9.6,^7.19.6,^7.10.1,^7.12.1,8.0.0-alpha.4,^7.7.6"
@iconify/svelte,7,"^4.0.2,^5.1.0,^3.1.3,^4.2.0,^3.1.6"
@internationalized/date,7,"^3.10.1,^3.5.0,3.10.1,^3.5.6,^3.9.0,^3.7.0"
@tmcp/adapter-valibot,7,"^0.1.5,^0.1.4,^0.1.3"
@types/uuid,7,"^10.0.0,^11.0.0,^9.0.8,^9.0.1,^9.0.2,^9.0.7"
ai,7,"^5.0.113,^5.0.79,^5.0.108,^5.0.117,^3.2.34,^3.0.24,^5.0.104"
axios,7,"^0.21.1,1.9.0,^1.6.2,^1.8.4,^1.13.2,^0.19.0"
