package_name,usage_count,versions
@sveltejs/vite-plugin-svelte,142,"^5.0.0,^3.0.0,^4.0.0,^6.2.1,^6.0.0,5.1.0,^4.0.0-next.6,^6.1.3,^2.4.2,^1.0.0-next.30,3.0.2,6.2.1,^5.1.0,^6.2.0,^5.0.3,^3.1.0,^5.1.1,4.0.0,3.1.0,^1.0.0-next.34,^1.0.0-next.31,6.1.0,4.0.0-next.7,^1.0.1,^2.4.5,^6.1.0,^4.0.4,^3.1.2,^3,4.0.0-next.6,^2.0.0,5.1.1,^3.1.1,^4.0.0-next.7,^2.4.6,^3.0.2,*"
vitest,116,"^4.0.2,catalog:,^1.0.0,3.2.4,^3.2.4,^3.1.1,^3.0.0,^2.1.1,^4.0.16,2.1.9,^3.1.3,^2.1.3,^0.32.2,^4.0.15,catalog:vitest,^4.0.5,2.1.4,^1.0.1,catalog:tooling,^1.5.2,^1.2.0,^1.6.0,^1.5.0,^2.0.5,^2.0.3,latest,^3.1.4,0.34.6,^4.0.14,2.0.5,^0.34.2,3.1.2,^3.0.7,^1.5.3,1.0.0-beta.2,^1.1.1,^0.29.3,1.2.2,^2.1.8,^2.0.4,^1.6.1,1.5.0,^4.0.9,^4.0.3,^1.1.3,^4.0.8,^3.2.3,^2.1.9,^0.25.3,^0.25.8,^0.32.4,^0.29.2,^3.2.2,4.0.16"
@typescript-eslint/parser,114,"^5.50.0,^3.0.2,^4.31.2,^4.3.0,^5.41.0,^5.29.0,^5.22.0,^5.10.2,^4.33.0,^5.45.0,^4.5.0,^5.27.0,^6.13.2,^5.48.1,6.9.1,^2.16.0,^8.46.1,7.18.0,^6.15.0,^8.49.0,^7.0.0,^5.62.0,^5.13.0,^6.13.1,workspace:^,8.32.0,8.31.1,^7.18.0,^8.0.0,^8.20.0,^6.7.3,^7.9.0,^7.8.0,^6.5.0,^6.3.0,^8.50.0,^8.38.0,^8.46.4,^6.9.0,^6.x,v6.19.1,^8.46.0,^5.60.0,^8.5.0,8.21.0,^7.16.1,^8.46.2,^4.31.1,^8.13.0,^5.5.0,^6.18.1,^6.19.0,^8.46.3,^5.12.1,^8.0.1,^7.5.0,^5.59.1,^8.50.1,^6.7.2,^8.10.0,^5.8.1,^5.46.1,^2.23.0 || ^3.3.0 || ^4.29.3 || ^5.10.0,^5.48.2,^8.31.1,^6.20.0,^5.54.0,7.1.0,^4.27.0,^7.15.0,^4.29.3,^4.9.0,^6.21.0,^8.27.0,^4.19.0,^8.39.0,^5.20.0"
eslint-plugin-svelte,112,"^2.46.1,^3.0.0,^2.28.0,^2.26.0,2.34.1,^3.5.1,^3.12.2,2.35.1,^2.30.0,^3.13.1,^3.12.4,catalog:lint,^3.12.3,^3.13.0,^2.36.0-next.4,^2.33.0,^2.38.0,3.13.1,^2.45.1,^2.32.0,^2.44.0,^2.37.0,^3.9.2,^3.8.1,^2.36.0,2.46.0,^3.4.0,^3.12.5,^2.46.0,^2.35.1,3.11.0,^2.31.1,^2.13.1,^2.33.2,2.45.1,^2.14.1,^2.43.0,^3.3.3,^3.5.0"
@typescript-eslint/eslint-plugin,107,"^5.50.0,^3.0.2,^4.31.2,^4.3.0,^5.53.0,^5.41.0,^5.29.0,^5.22.0,^5.10.2,^4.33.0,^5.45.0,^4.5.0,^5.27.0,^6.13.2,^5.48.1,6.9.1,^2.16.0,7.18.0,^6.15.0,^8.49.0,^7.0.0,^5.62.0,^5.13.0,^6.13.1,workspace:^,8.32.0,8.31.1,^8.0.0,^8.20.0,^6.7.3,^7.9.0,^7.8.0,^6.5.0,^6.3.0,^8.50.0,^8.38.0,^8.46.4,^6.9.0,^6.x,^7.18.0,v6.19.1,^5.60.0,^8.5.0,8.21.0,^7.16.1,^8.46.2,^4.31.1,^8.13.0,^5.5.0,^6.18.1,^6.20.0,^8.46.3,^8.0.1,^7.5.0,^5.59.1,^8.51.0,^6.7.2,^8.10.0,^5.8.1,^5.46.1,^5.48.2,^8.31.1,^5.54.0,7.1.0,^4.27.0,^7.15.0,^4.29.3,^4.9.0,^8.27.0,^4.19.0,^6.19.0,^8.39.0,^5.20.0"
tslib,102,"^2.4.1,^2.5.0,^2.0.0,^2.8.1,^2.6.2,^2.3.1,2.8.1,^2.8.0,^2.6.3,^2.6.0,^2.6.1,^2.5.3,^2.7.0,^2.3.0,2.6.2,^2.0.3,^1.9.3"
@changesets/cli,95,"^2.29.5,^2.27.12,^2.29.7,^2.26.0,2.29.7,^2.26.2,2.26.2,^2.27.1,^2.27.10,catalog:,2.29.5,2.21.0,^2.29.6,^2.27.9,^2.27.7,2.27.10,catalog:tooling,^2.27.11,^2.29.8,^2.27.6,2.29.8,^2.27.5,2.27.12,^2.28.1,^2.25.0,^2.24.2,^2.27.8,^2.25.2,2.29.4,^2.26.1,^2.18.1"
rollup,95,"^4.52.5,2.44.0,^1.29.0,^0.67.4,^0.36.3,^2,^3.5.0,^2.27.1,^2.3.4,^3,^0.52.0,*,^0.65.2,^0.37.2,^0.45.2,^3.28.0,^1.20.0,^2.32.1,^2.21.0,^2.16.1,^2.57.0,2.10.2,^2.29.0,^3.7.0,^1.19.4,^2.78.0,^1.27.14,^2.60.2,1.27.9,^2.33.3,^3.3.0,2.0.3,4.50.1,^2.8.0,^4.54.0,^4.14.2,^4.18.0,^4.52.2,^3.29.4,4.39.0,^4.13.0,^4.17.2,^3.28.1,^3.7.5,^3.9.1,catalog:,^4.22.4,4.54.0,^2.75.6,2.41.5,^3.2.3,^2.63.0,^3.25.2,^2.34.2,^2.77.4-1,0.25.1,^1.20.1,^2.7.3,^4.34.8,^2.79.1,^0.52.1,^2.59.0,^1.11.3,^0.62.0,^0.67.3,^1.17.0,^1.12.4,^0.36.1,^0.34.0"
tailwindcss,95,"^3.3.2,^3.4.9,^3.4.4,^3.3.6,^3.4.0,^4.0.0,^4.0.8,^3.3.3,^4.1.10,^4.1.11,^4.1.17,^4.1.18,^3.4.3,^3.4.15,^3.4.1,^3.3.1,^3.2.7,4.1.10,4.1.14,^3.4.18,4.1.18,^3.4.11,^3,^3.4.16,^4.1.7,^3.0.0,2.0.4,^3.4.14,^4.0.9,^3.4.17,^2.2.2,^3.1.5,3.4.1,^3.0.23,^3.0.8,^3.2.4,^4.0.17,^3.3.5,^2.2.4,^2.1.1,^3.4.13,^4.1.6,^3.0.18,^4.0.15,3.4.18"
@sveltejs/adapter-auto,92,"^3.0.0,^2.0.0,^7.0.0,^6.0.0,^6.0.1,^4.0.0,next,^2.1.0,^6.1.1,^2.1.1,^3.2.4,^4,^3.3.1,^3.3.0,^3.2.2,^1.0.0,^3.2.0,^2.0.1,^3.2.5,^3.1.1,3.1.1,2.1.0,1.0.0-next.90"
postcss,89,"^8.4.23,^8.5.6,7.0.30,^8.4.38,^8.4.32,^7.0.24,^8.4.49,^8.4.4,^8.4.29,^8.4.5,^8.4.16,^8.4.27,^8.4.28,^8.4.21,8.5.5,8.5.6,^8.0.0,^8.4.31,^8.4.24,^8.4.47,^8,8.4.47,^8.5.5,^8.3.9,8.2.8,^8.4.18,^8.4.33,^8.5.1,^8.3.5,^8.4.14,^8.4.39,8.4.35,^8.4.7,^8.4.30,^8.4.19,^8.4.35,^8.5.3,8.4.38,^8.2.10,^8.4.6,^6.0.2"
autoprefixer,88,"^10.4.14,^10.4.20,9.7.6,^6.0.3,^6.2.1,^10.4.19,^10.4.16,^10.4.0,^10.4.15,^10.4.21,^10.4.23,^10.2.6,^10.4.2,^10.4.8,^10.4.22,^10,10.4.20,^10.4.7,^10.3.7,10.2.5,^10.3.1,^10.4.12,^10.4.1,10.4.18,^10.4.13,^10.4.17,10.4.17,^10.3.3,^10.2.5,^7.1.1"
typescript-eslint,76,"^8.18.0,^8.20.0,^8.32.0,^8.46.1,catalog:,^8.32.1,^8.0.0,8.31.0,^8.1.0,^8.48.1,8.34.1,^8.44.1,catalog:lint,^8.51.0,^8.44.0,^8.46.2,^8.48.0,^8.0.1,^8.49.0,workspace:^,^8.43.0,^8.26.0,^8.19.0,^8.24.0,^8.2.0,^8.15.0,^8.47.0,^8.3.0,8.50.1,^8.30.1,^8.10.0,^8.52.0,^8.0.0-alpha.20,8.0.0-alpha.39,8.13.0,^8.50.1,^8.50.0,^8.46.4,^8.11.0,^8.28.0"
husky,69,"6.0.0,^9.1.7,4.2.5,^7.0.4,^7.0.1,^1.3.1,^0.14.3,^3.0.0,^8.0.3,^9.0.11,^4.2.5,^9.1.4,^9.1.3,9.1.7,^8.0.2,^8.0.0,^4.3.8,^4.2.3,^9.0.0,9.1.6,^7.0.0,^9.1.6,8.0.1,9.0.11,^7.0.2,^4.2.1,^9.0.6"
@playwright/test,68,"^1.53.2,^1.49.1,^1.22.1,^1.28.1,^1.25.0,1.54.0,^1.52.0,^1.45.3,1.55.0,^1.48.2,^1.45.0,^1.57.0,^1.44.1,^1.54.2,^1.56.0,catalog:,^1.39.0,^1.43.1,^1.54.1,1.40.0,^1.41.2,1.50.0,^1.56.1,^1.48.1,1.53.2,^1.40.1,^1.33.0,1.29.2,^1.31.2,^1.37.0,^1.51.1,1.57.0,^1.37.1,1.56.1,^1.21.0"
svelte-preprocess,68,"^3.7.4,^6.0.3,3.7.4,^5.1.4,^4.10.6,^4.9.8,5.1.3,^4.10.2,^4.10.1,^4.10.7,^4.8.0,^5.0.3,^5.0.4,^5,^5.0.0,^5.1.1,^4.7.4,^5.1.3,^4.7.3,^6.0.0,^4.9.4,^5.0.1,^6.0.1,^4.0.0,^4.7.1"
globals,66,"^16.0.0,^15.13.0,^17.0.0,^16.4.0,^16.3.0,^16.5.0,catalog:lint,^15.0.0,^15.9.0,^15.14.0,^15.15.0,^15.1.0,16.5.0,^15.11.0,16.2.0,^15.7.0"
lint-staged,56,"10.5.4,^11.1.2,10.2.2,^13.0.3,^11.1.0,^4.3.0,^9.2.0,^13.1.0,^15.2.2,16.2.6,^15.2.8,^15.2.7,^15.5.2,^15.2.0,15.2.10,^16.2.6,^16.2.7,^15.1.0,^10.5.3,^16.1.5,^15.4.3,15.5.0,^14.0.1,^14.0.0,^15.2.10,^15.4.1,16.1.6,^10.5.4,^16.2.1,^12.3.4,16.2.7,12.5.0,16.0.0,^12.4.0"
rimraf,56,"3.0.2,^5.0.7,2.4.3,^3.0.2,^6.0.1,^3.0.0,^2.4.3,^2.5.0,^2.5.2,^2.6.3,6.0.1,^6.1.2,5.0.5,^5.0.5,^2.6.2,^2.7.1,2.5.0,^5.0.8,^5.0.10"
publint,54,"^0.3.15,^0.1.9,^0.2.0,^0.3.13,^0.3.12,^0.2.7,^0.3.2,catalog:,0.3.12,^0.2.12,^0.3.0,0.2.12,catalog:tooling,^0.2.8,^0.1.12,^0.3.16,0.3.16,^0.1.16,^0.3.8,^0.1.7,0.3.14"
@eslint/js,53,"^9.38.0,^9.18.0,^9.16.0,^9.26.0,9.22.0,^9.30.1,^9.8.0,^9.39.1,^9.36.0,catalog:lint,^9.39.2,^9.35.0,^9.39.0,^9.0.0,^9.9.0,^9.34.0,^9.21.0,^9.15.0,^9.9.1,9.39.2,^9.29.0,^9.23.0,9.33.0,^9.22.0,^9.6.0"
mocha,53,"8.3.2,^3.0.1,2.3.3,^4.0.1,^5.2.0,^3.1.2,^3.4.2,^3.2.0,^10.2.0,^8.0.0,^7.0.0,^7.1.1,^2.3.3,^2.3.4,^2.4.5,^11.7.2,^3.3.0,11.7.2,^10.7.3,*,^3.5.3,2.3.4,^9.2.2,^10.0.0,^3.0.0,^9.0.2,5.2.0,^6.2.0,^3.1.0"
@sveltejs/adapter-static,51,"^3.0.8,^1.0.0-next.21,^1.0.0-next.16,^3.0.7,^3.0.9,^2.0.0,3.0.1,^3.0.6,^3.0.2,^2.0.3,^3.0.1,^1.0.0-next.22,^1.0.0-next.41,^1.0.0-next.17,^1.0.0-next.34,^3.0.0,^3.0.10,^3.0.5,^3,3.0.10,^1.0.0-next.13,^3.0.4,^1.0.0-next.23,^2.0.2,^1.0.0-next.12,3.0.2,3.0.8,^1.0.0-next.18,^2.0.1,^1.0.0,^1.0.0-next.0,2.0.3,^1.0.0-next.26,next"
prettier-plugin-tailwindcss,50,"^0.6.5,0.6.11,^0.7.0,^0.5.4,^0.6.11,^0.6.13,^0.7.2,^0.6.14,^0.5.14,^0.5.9,0.2.7,0.6.14,^0.6.6,0.7.2,^0.6.8,^0.6.9,^0.6.4,^0.2.8,^0.7.1,^0.5.7,^0.5.2"
@tailwindcss/typography,49,"^0.5.8,^0.5.13,^0.5.10,^0.5.15,^0.5.19,^0.5.9,0.5.16,^0.5.14,^0,^0.5.0,^0.4.1,0.5.10,^0.5.12,^0.5.7,^0.5.1,^0.5.16"
