contributor,follows,target_followers
lukeed,thysultan,177
lukeed,mthwtkr,38
lukeed,EricJJohnson,19
lukeed,chrisdambrosio,17
mrkishi,mrdoob,24675
mrkishi,Rich-Harris,20245
mrkishi,rsms,7713
mrkishi,lukeed,4992
mrkishi,sveltejs,4600
mrkishi,unconed,2832
mrkishi,tanhauhau,1644
mrkishi,bluwy,1563
mrkishi,a327ex,1047
mrkishi,rezaali,929
mrkishi,pngwn,811
mrkishi,dummdidumm,723
mrkishi,Conduitry,681
mrkishi,kaisermann,599
mrkishi,TehShrike,349
mrkishi,kevmodrome,191
mrkishi,arxpoetica,165
mrkishi,bonachela,76
mrkishi,SayakaIsBaka,50
mrkishi,blvz,25
mrkishi,SirusDoma,25
mrkishi,cej25,7
mrkishi,RobFl,2
paoloricciuti,yyx990803,106427
paoloricciuti,gaearon,90210
paoloricciuti,antfu,38084
paoloricciuti,Rich-Harris,20245
paoloricciuti,shiffman,19489
paoloricciuti,jakearchibald,11481
paoloricciuti,swyxio,7222
paoloricciuti,mattpocock,6550
paoloricciuti,danielroe,5545
paoloricciuti,trueadm,4814
paoloricciuti,sveltejs,4600
paoloricciuti,surma,4560
paoloricciuti,steveruizok,3225
paoloricciuti,LukeMathWalker,3222
paoloricciuti,juliusmarminge,1988
paoloricciuti,huntabyte,1824
paoloricciuti,benmccann,1265
paoloricciuti,PuruVJ,987
paoloricciuti,spences10,926
paoloricciuti,matiadev,818
paoloricciuti,pngwn,811
paoloricciuti,dummdidumm,723
paoloricciuti,Conduitry,681
paoloricciuti,vitest-dev,646
paoloricciuti,TGlide,509
paoloricciuti,Charca,473
paoloricciuti,joshnuss,464
paoloricciuti,dominikg,365
paoloricciuti,khromov,364
paoloricciuti,43081j,339
paoloricciuti,ciscoheat,338
paoloricciuti,brittneypostma,323
paoloricciuti,ghostdevv,234
paoloricciuti,kevmodrome,191
paoloricciuti,mattmezza,175
paoloricciuti,mansona,153
paoloricciuti,K-Sato1995,135
paoloricciuti,oscard0m,123
paoloricciuti,grischaerbe,116
paoloricciuti,stordahl,100
paoloricciuti,elliott-with-the-longest-name-on-github,92
paoloricciuti,KevinBongart,77
paoloricciuti,SarcevicAntonio,75
paoloricciuti,intersimone999,48
paoloricciuti,danielimmke,47
paoloricciuti,toniengelhardt,45
paoloricciuti,multiplehats,26
paoloricciuti,ivcandela,21
paoloricciuti,Peter-512,18
paoloricciuti,beerinho,4
tanhauhau,yyx990803,106427
tanhauhau,sindresorhus,76739
tanhauhau,tj,51478
tanhauhau,getify,44989
tanhauhau,addyosmani,44810
tanhauhau,ry,32945
tanhauhau,isaacs,15888
tanhauhau,developit,12922
tanhauhau,mathiasbynens,12802
tanhauhau,bvaughn,11569
tanhauhau,sofish,10484
tanhauhau,alex,10471
tanhauhau,sophiebits,10386
tanhauhau,Jinjiang,7182
tanhauhau,hzoo,5317
tanhauhau,leebyron,5282
tanhauhau,jonschlinkert,4836
tanhauhau,zkat,4704
tanhauhau,surma,4560
tanhauhau,sethvargo,4517
tanhauhau,paulmillr,4321
tanhauhau,threepointone,3972
tanhauhau,latentflip,3938
tanhauhau,dtinth,2122
tanhauhau,cheeaun,1823
tanhauhau,aemkei,1764
tanhauhau,petebacondarwin,1602
tanhauhau,yuanchuan,1424
tanhauhau,jridgewell,1289
tanhauhau,jeffmo,1146
tanhauhau,honcheng,988
tanhauhau,dandv,707
tanhauhau,floatdrop,520
tanhauhau,mohsen1,504
tanhauhau,benbahrenburg,421
tanhauhau,evantahler,350
tanhauhau,lxcid,276
tanhauhau,mobz,253
tanhauhau,dashed,252
tanhauhau,sssionggg,205
tanhauhau,serrynaimo,121
tanhauhau,opensas,112
tanhauhau,fadhlirahim,103
tanhauhau,vitoc,94
tanhauhau,fdintino,91
tanhauhau,fuzzie360,78
tanhauhau,Intellicode,64
tanhauhau,rohitsm,33
tanhauhau,cylarez,8
tanhauhau,zineer,5
trueadm,yyx990803,106427
trueadm,gaearon,90210
trueadm,paulirish,31758
trueadm,mrdoob,24675
trueadm,Rich-Harris,20245
trueadm,ahejlsberg,16250
trueadm,zpao,5274
trueadm,mweststrate,3183
trueadm,rvagg,2557
trueadm,samccone,2255
trueadm,zertosh,742
trueadm,paldepind,710
trueadm,axemclion,629
trueadm,callumlocke,387
