login,name,profile_url,bio,public_repos,followers,following,commits_last_year,contributed_repos
haylinmoore,haylin,https://github.com/haylinmoore,"pushing packets @ as923. Working at @Qumulo
my work account is @qaylinmoore, 
my bot account is @botlinmoore",92,130,42,0,0
MegaApuTurkUltra,MegaApuTurkUltra,https://github.com/MegaApuTurkUltra,"Hello, I'm an 11th grader who used to do things on Scratch.
I enjoy MLG montage parodies and trap music.

https://scratch.mit.edu/users/MegaApuTurkUltra/",21,64,0,0,0
Tegmen,Martin Brändli,https://github.com/Tegmen,,13,10,1,0,0
codediodeio,Jeff Delaney,https://github.com/codediodeio,GDE. Creator of @fireship-io,65,22989,89,0,0
MikeDev101,"Mike J. Renaker / ""MikeDEV""",https://github.com/MikeDev101,"warning: may or may not track you down, visit you while you’re sleeping, and steal all your rubber ducks (live ducks may also be affected)",14,135,91,0,0
PolyEdge,Dylan,https://github.com/PolyEdge,,6,43,50,0,0
electron,Electron,https://github.com/electron,"Build cross platform desktop apps with JavaScript, HTML, and CSS",108,3697,0,0,0
milomg,Milo Mighdoll,https://github.com/milomg,Your program runs in O(1)  but mine runs in ᵒ⁽¹⁾ which is much smaller.,80,201,37,0,0
TodePond,Lu Wilson,https://github.com/TodePond,slightly-surreal creative-coding,123,2194,136,0,0
DustinBrett,Dustin Brett,https://github.com/DustinBrett,"Self-Taught Senior Software Engineer, Traveler, Father & Husband",42,1196,0,0,0
WorldLanguages,WorldLanguages,https://github.com/WorldLanguages,CS student,10,333,58,0,0
joker314,Max,https://github.com/joker314,University student studying Computer Science,103,59,45,0,0
mitxela,,https://github.com/mitxela,,50,919,0,0,0
mitsuhiko,Armin Ronacher,https://github.com/mitsuhiko,Software developer and Open Source nut. Creator of the Flask framework. Founder of @earendil-works. Other things of interest: @pallets and @getsentry,326,23253,24,0,0
Goltergaul,Dominik Goltermann,https://github.com/Goltergaul,,29,35,16,0,0
bazhenov,Denis Bazhenov,https://github.com/bazhenov,,82,85,4,0,0
spjoe,,https://github.com/spjoe,,34,12,4,0,0
sebmarkbage,Sebastian Markbåge,https://github.com/sebmarkbage,,75,9301,37,0,0
alexcrichton,Alex Crichton,https://github.com/alexcrichton,,467,5355,0,0,0
fitzgen,Nick Fitzgerald,https://github.com/fitzgen,,332,1907,199,0,0
eddyb,Eduard-Mihai Burtescu,https://github.com/eddyb,"@Rust-GPU compiler R&D at @vectorware-inc
(previously: @rust-lang compiler team)",108,706,5,0,0
pvinis,Pavlos Vinieratos,https://github.com/pvinis,Just coding.. and coding.. and using two-dot ellipsis..,416,252,359,0,0
kvark,Dzmitry Malyshau,https://github.com/kvark,,275,1154,38,0,0
Ms2ger,,https://github.com/Ms2ger,,152,322,3,0,0
brson,Brian Anderson,https://github.com/brson,,418,2508,0,0,0
nikomatsakis,Niko Matsakis,https://github.com/nikomatsakis,,288,4377,0,0,0
pcwalton,Patrick Walton,https://github.com/pcwalton,,195,1605,16,0,0
mre,Matthias Endler,https://github.com/mre,Curious person; oxidizing things.,400,2107,358,0,0
orlp,Orson Peters,https://github.com/orlp,,109,798,7,0,0
Dav1dde,David Herberth,https://github.com/Dav1dde,,96,343,6,0,0
Amanieu,Amanieu d'Antras,https://github.com/Amanieu,,103,863,0,0,0
oli-obk,Oli Scherer,https://github.com/oli-obk,,245,774,5,0,0
evanw,Evan Wallace,https://github.com/evanw,,125,13882,36,0,0
syphar,Denis Cornehl,https://github.com/syphar,"professional software person since 2000, 
passionate about backend, data, Heroku, python, rust. 

Discord: syphar#8455 
Matrix: @syphar:beeper.com",120,131,128,0,0
sophiajt,Sophia J. Turner,https://github.com/sophiajt,Previously: @nushell / @rust-lang / TypeScript core team.,127,1565,0,0,0
nrc,Nick Cameron,https://github.com/nrc,"Formerly Rust at @microsoft, @rust-lang core team, @pingcap, @mozilla.",166,1586,0,0,0
trishume,Tristan Hume,https://github.com/trishume,"Open source enthusiast. Projects in Rust, Ruby, C++, JS, Objective-C and more.",187,3372,42,0,0
raphaelstary,Raphael Stary,https://github.com/raphaelstary,software engineer,31,29,24,0,0
Darksonn,Alice Ryhl,https://github.com/Darksonn,Maintainer of Tokio.,76,2394,5,0,0
mstange,Markus Stange,https://github.com/mstange,,130,173,0,0,0
jlesquembre,José Luis Lafuente,https://github.com/jlesquembre,,97,45,13,0,0
repi,,https://github.com/repi,,34,0,0,0,0
charliermarsh,Charlie Marsh,https://github.com/charliermarsh,"Building @astral-sh: high-performance developer tools for Python, starting with uv and Ruff.",45,6173,18,0,0
DramaDesu,Vladislav Adamkovich,https://github.com/DramaDesu,Game developer with a passion of retro games,127,10,48,0,0
evancz,Evan Czaplicki,https://github.com/evancz,Designer/developer of @elm,37,5923,0,0,0
matklad,Alex Kladov,https://github.com/matklad,"Computers, democracy, and nervous disorder.",504,6603,2,0,0
nnethercote,Nicholas Nethercote,https://github.com/nnethercote,@vectorware-inc and @rust-lang. Previously worked on Valgrind and Firefox. he/him,84,969,0,0,0
dtolnay,David Tolnay,https://github.com/dtolnay,,121,9053,50,0,0
Cerbis,,https://github.com/Cerbis,,0,5,9,0,0
poettering,Lennart Poettering,https://github.com/poettering,,20,1696,1,0,0
obi1kenobi,Predrag Gruevski,https://github.com/obi1kenobi,,107,740,4,0,0
mydea,Francesco Gringl-Novy,https://github.com/mydea,"Engineering Manager @ Sentry, working on the JS SDKs",147,118,1,0,0
yoshuawuyts,Yosh,https://github.com/yoshuawuyts,WebAssembly and Rust @microsoft,852,3243,25,0,0
danielkhan,Daniel Khan,https://github.com/danielkhan,Pragmatic full stack person raised by a Sinclair ZX Spectrum. Product at Sentry.,101,434,0,0,0
mastermax1988,Max,https://github.com/mastermax1988,,47,5,4,0,0
compiler-errors,Michael Goulet,https://github.com/compiler-errors,,61,654,103,0,0
rfbotto,Rui Botto,https://github.com/rfbotto,Experienced software engineer specialised in building performant and scalable frontend applications.,21,34,106,0,0
llogiq,,https://github.com/llogiq,,221,718,16,0,0
jordandobson,Jordan Dobson,https://github.com/jordandobson,"I'm a Design Prototyper creating digital products for web, mobile & AR/VR by combining design, motion & code to solve complex problems with elegant solutions",86,141,192,0,0
mashiox,Matthew Walther,https://github.com/mashiox,,50,85,52,0,0
kwhitley,Kevin R. Whitley,https://github.com/kwhitley,I write tiny things to simplify other things.,129,292,13,0,0
Danese,Danese Cooper,https://github.com/Danese,Open Source Diva since 1999.,1,23,9,0,0
triestpa,Patrick Triest,https://github.com/triestpa,,60,0,0,0,0
CaptainKurt,Kurt Walker,https://github.com/CaptainKurt,,0,17,15,0,0
torinmb,Torin Blankensmith,https://github.com/torinmb,Freelance creative technologist & real-time graphics artist based out of NEW INC. Previously Fiver at the Google Creative Lab.,65,672,21,0,0
wongnat,Nathan Wong,https://github.com/wongnat,,3,7,5,0,0
skylarenglish,,https://github.com/skylarenglish,,14,8,4,0,0
csarkosh,Cyrus Sarkosh,https://github.com/csarkosh,Cloud Developer · Web Developer · Game Building Hobbyist,6,9,8,0,0
rtyer,Ryan Tyer,https://github.com/rtyer,,41,21,10,0,0
housejester,James Estes,https://github.com/housejester,,22,28,3,0,0
xtyler,Tyler Wright,https://github.com/xtyler,"AI, frontend, fullstack, gameplay engineer who builds TCGs, TTRPGs, and agent-supported entertainment.",6,38,0,0,0
bhalsey,Brent Halsey,https://github.com/bhalsey,,7,10,2,0,0
climberbrad,Brad Jordan,https://github.com/climberbrad,,35,5,2,0,0
josevalim,José Valim,https://github.com/josevalim,"Creator of @elixir-lang. Chief Adoption Officer at @dashbitco, where we build @tidewave-ai and @livebook-dev.",62,15968,11,0,0
bendc,Benjamin De Cock,https://github.com/bendc,I design and develop user interfaces.,12,1731,18,0,0
Swizec,Swizec Teller,https://github.com/Swizec,,287,1960,44,0,0
philsturgeon,Phil Sturgeon,https://github.com/philsturgeon,"Using APIs to reforest the UK @protect-earth, decarbonizing software at @GreenTurtleTech, and teaching about APIs at @apisyouwonthate. Ex-@wework @PyroCMS ",94,4116,166,0,0
matthewmueller,Matt Mueller,https://github.com/matthewmueller,,596,1717,709,0,0
chrismccord,Chris McCord,https://github.com/chrismccord,,125,3604,32,0,0
thysultan,Sultan,https://github.com/thysultan,,15,177,48,0,0
chrisdambrosio,Chris D'Ambrosio,https://github.com/chrisdambrosio,,45,17,7,0,0
vutran,Vu Tran,https://github.com/vutran,"💻 Engineer @PerplexityAI

$ npx vutran",220,289,44,0,0
EricJJohnson,Eric Johnson,https://github.com/EricJJohnson,,7,19,7,0,0
terkelg,Terkel,https://github.com/terkelg,Brooklyn's favorite tech cuckoo ,50,1987,1106,0,0
fengyuanchen,Fengyuan Chen,https://github.com/fengyuanchen,,27,2662,42,0,0
joeyklee,Joey Lee,https://github.com/joeyklee,"Your friendly, neighborhood creative technologist.",193,662,138,0,0
zouhir,Zouhir ⚡️,https://github.com/zouhir,Born and raised in Syria 🌱 Works on @google Search Results Page 🔍  Previously Edge Web Platform @microsoft 👾 ,113,680,3,0,0
danaugrs,Daniel Salvadori,https://github.com/danaugrs,"Machine Learning & Computer Graphics. Zig, Rust, Go, Python, Typescript. 🇧🇷",46,244,399,0,0
mthwtkr,Matt T,https://github.com/mthwtkr,,52,38,16,0,0
bonachela,Luciano Bonachela,https://github.com/bonachela,,0,76,362,0,0
rsms,Rasmus,https://github.com/rsms,"Personal Software, languages, compilers, Humans & Computers, and other fun things.
Past professional life at Figma, Facebook, Spotify, Dropbox, etc.",178,7713,46,0,0
arxpoetica,Robert Hall,https://github.com/arxpoetica,"Technology, storytelling, & data. Pet project: https://cinemodal.com/ . “The heart of the universe is creativity.” – David Bowie",58,165,179,0,0
blvz,Rafael Belvederese,https://github.com/blvz,sleepwalker and daydreamer.,49,25,7,0,0
unconed,,https://github.com/unconed,,47,2832,6,0,0
a327ex,adn,https://github.com/a327ex,,26,1047,130,0,0
rezaali,Reza Ali,https://github.com/rezaali,Product Designer • Software Engineer • Graphics Enthusiast • Human Interface Designer • Apple Design Studio,0,929,643,0,0
RobFl,Roberto Floriani,https://github.com/RobFl,,0,2,2,0,0
SirusDoma,CXO2,https://github.com/SirusDoma,,41,25,13,0,0
SayakaIsBaka,Sayaka / 黒皇帝,https://github.com/SayakaIsBaka,,25,50,0,0,0
cej25,CJ,https://github.com/cej25,"Postdoc, working on analysis code for decay spectroscopy data.",12,7,9,0,0
